=== [缓存] 料理列表和助手效果 ===

--- 通用料理 ---
101 飯団 | 汎用 | 和食/米/咸/简易/質素/機能的/家庭的
141 煮毛豆 | 汎用 | 和食/開胃/野菜/豆/咸/温暖/質素/野趣/家庭的
142 唐揚鸡 | 鳥肉,野雞肉 | 和食/油炸食品/開胃/肉料理/鳥肉/咸/丰盛/濃厚/温暖/家庭的
143 炸鸡 | 鳥肉,野雞肉 | 洋食/油炸食品/肉料理/鳥肉/香料/咸/丰盛/垃圾/濃厚/温暖/豪快
144 法兰克福香肠 | 獣肉 | 洋食/肉料理/獣肉/香料/辣/丰盛/垃圾/濃厚/温暖/野趣
145 竜田揚 | 好吃的魚,魚 | 和食/油炸食品/開胃/魚料理/咸/丰盛/濃厚/温暖/野趣/松脆
146 炸青蛙 | 青蛙 | 油炸食品/開胃/咸/丰盛/濃厚/温暖/野趣/松脆
151 章魚焼 | 好吃的魚,魚 | 和食/野菜/香料/咸/简易/温暖/温暖/芸術的/软绵绵
152 炸丸子 | 马铃薯,洋葱,南瓜 | 油炸食品/野菜/咸/丰盛/濃厚/温暖/家庭的/松脆
153 肉包 | 獣肉,竹笋,洋葱 | 中華/獣肉/野菜/咸/温暖/温暖/冬物/機能的/软糯的
154 餃子 | 獣肉,卷心菜,白菜 | 中華/開胃/獣肉/野菜/咸/丰盛/垃圾/濃厚/温暖/家庭的
155 焼麥 | 獣肉,洋葱,白菜 | 中華/開胃/獣肉/野菜/咸/简易/温暖
156 炸鱼 | 好吃的魚,魚 | 洋食/油炸食品/開胃/魚料理/咸/丰盛/温暖/野趣/松脆
157 盐烤鱼 | 好吃的魚,魚 | 開胃/魚料理/咸/温暖/質素/野趣/松脆
158 照焼鱼 | 好吃的魚,魚 | 和食/開胃/魚料理/咸/温暖/質素/家庭的
159 煮鱼 | 好吃的魚,魚 | 和食/煮物/開胃/魚料理/咸/濃厚/温暖/質素/家庭的
160 烤鳗 | 好吃的魚,魚 | 和食/魚料理/開胃/咸/丰盛/温暖/上品
161 文也鱼 | 好吃的魚,魚 | 洋食/魚料理/香料/酸/简易/濃厚/芸術的
162 醋浸鱼 | 好吃的魚,魚 | 洋食/魚料理/香料/酸/简易/芸術的
163 天麩羅 | 好吃的魚,魚 | 和食/開胃/油炸食品/魚料理/咸/丰盛/温暖/芸術的/松脆
164 盐烤青蛙 | 青蛙 | 開胃/咸/温暖/野趣/野趣/野趣/松脆
165 炒青蛙 | 青蛙 | 洋食/咸/简易/温暖/野趣
166 肉丸 | 獣肉,鳥肉,來歷不明的肉,青蛙 | 肉料理/開胃/咸/濃厚/温暖/家庭的
171 烤番薯 | 马铃薯 | 和食/野菜/甜/温暖/温暖/秋物/野趣/软绵绵
172 炸薯条 | 马铃薯 | 洋食/油炸食品/開胃/香料/咸/丰盛/垃圾/濃厚/温暖
173 黄油土豆 | 马铃薯 | 開胃/香料/咸/丰盛/温暖/温暖
174 炸魚＆薯條 | 好吃的魚,魚 | 洋食/魚料理/咸/简易/垃圾/濃厚/松脆
181 味噌汤 | 胡萝卜,马铃薯,洋葱,芜菁,白菜,南瓜,葱,普通的菌菇 | 和食/汁物/野菜/咸/简易/濃厚/温暖/温暖/質素/家庭的
182 汁粉 | 汎用 | 和食/汁物/甜/濃厚/温暖/温暖/春物/質素/黏稠
183 猪肉蔬菜味噌汤 | 獣肉,胡萝卜,洋葱,葱,芜菁,山菜 | 和食/汁物/獣肉/野菜/咸/丰盛/温暖/温暖/冬物/質素/家庭的
184 玉米汤 | 汎用 | 洋食/汁物/野菜/甜/简易/温暖/温暖/上品/黏稠
185 杯麺 | 汎用 | 中華/麺類/咸/垃圾/垃圾/温暖/温暖/質素/機能的/機能的/機能的
191 竹輪 | 好吃的魚,魚 | 和食/魚料理/開胃/甜/简易/淡白/質素/软绵绵
192 納豆 | 汎用 | 和食/野菜/豆/咸/简易/健康/濃厚/野趣/家庭的
193 豆腐 | 汎用 | 和食/開胃/咸/简易/淡白/質素/扑鼻
194 梅干 | 汎用 | 和食/野菜/酸/酸/酸/简易/健康/濃厚/質素/野趣
195 葛切 | 汎用 | 和食/甜/简易/健康/淡白/温暖/質素/上品/扑鼻
196 煎餅 | 汎用 | 和食/開胃/咸/質素/松脆
201 盛的滿滿的飯 | 汎用 | 和食/米/咸/简易/淡白/温暖/質素/質素/家庭的/豪快
202 蛋澆飯 | 卵,奇妙な卵 | 和食/米/卵/甜/简易/温暖/質素/質素/家庭的
203 茶泡饭 | 汎用 | 和食/米/咸/简易/淡白/温暖/温暖/質素/家庭的/芸術的
204 竹筍飯 | 竹笋 | 和食/米/野菜/咸/简易/淡白/温暖/春物/質素/家庭的
205 漬物大碗飯 | 黄瓜,茄子,芜菁,白菜 | 和食/葉物/米/野菜/酸/简易/温暖/質素/家庭的
206 红豆饭 | 高级食材 | 和食/米/野菜/豆/甜/温暖/上品/新鲜/家庭的
207 雑燴粥 | 汎用 | 和食/汁物/米/野菜/咸/简易/健康/淡白/温暖/質素/質素/家庭的/黏稠
208 猪排饭 | 獣肉 | 和食/油炸食品/肉料理/米/獣肉/咸/丰盛/濃厚/温暖/豪快/松脆/魔性
209 牛肉饭 | 獣肉 | 和食/肉料理/米/獣肉/咸/丰盛/垃圾/濃厚/温暖/野趣
210 親子盖饭 | 鳥肉,野雞肉,卵,奇妙な卵 | 和食/肉料理/米/鳥肉/卵/甜/丰盛/濃厚/温暖/野趣
211 炸鱼饭 | 好吃的魚 | 和食/油炸食品/魚料理/米/咸/丰盛/濃厚/温暖/上品/松脆
212 海鮮饭 | 好吃的魚 | 和食/魚料理/米/咸/简易/淡白/豪華/新鲜/豪快
213 寿司 | 好吃的魚 | 和食/魚料理/米/芥末/咸/简易/淡白/豪華/上品
214 鳗鱼饭 | 好吃的魚 | 和食/米/咸/丰盛/濃厚/温暖/豪華/上品/精力
215 蛋包饭 | 番茄,卵,奇妙な卵 | 洋食/米/卵/甜/温暖/新鲜/家庭的
216 炒饭 | 葱,卵,奇妙な卵 | 中華/米/野菜/獣肉/咸/丰盛/温暖/家庭的
217 咖喱饭 | 胡萝卜,马铃薯,洋葱,獣肉 | 洋食/咖喱/米/野菜/獣肉/香料/辣/辣/丰盛/濃厚/温暖/温暖/家庭的/黏稠
218 芝士焗飯 | 好吃的魚,魚 | 洋食/魚料理/米/乳酪/牛奶/甜/丰盛/濃厚/温暖/温暖
219 咖喱鱼 | 好吃的魚,魚 | 洋食/咖喱/魚料理/米/野菜/香料/辣/辣/丰盛/濃厚/温暖/温暖/新鲜/黏稠
220 青蛙咖喱 | 青蛙 | 洋食/咖喱/米/野菜/香料/辣/辣/丰盛/濃厚/温暖/温暖/新鲜/黏稠
221 壽司糖 | 好吃的魚,魚 | 魚料理/米/咸/简易/淡白/質素/謎料理
222 一盘一口·肉盖饭 | 鳥肉,野雞肉,來歷不明的肉,卵,奇妙な卵,山菜 | 和食/肉料理/米/鳥肉/卵/咸/丰盛/垃圾/濃厚/温暖/野趣/芥末/简易/豪華/YYK严选
223 魔女乱炖 | 來歷不明的肉,奇妙な卵,山菜,青蛙,普通的菌菇,魔界菌菇 | 肉料理/野菜/汁物/简易/丰盛/垃圾/垃圾/垃圾/濃厚/温暖/魔性/野趣/怪诞/豪快/謎料理
231 荞麦麺 | 汎用 | 和食/麺類/咸/简易/淡白/中立温度/中立温度/上品/芸術的
232 乌冬麺 | 汎用 | 和食/麺類/咸/简易/淡白/中立温度/中立温度/上品/家庭的
233 素麺 | 汎用 | 和食/麺類/咸/简易/淡白/冷/冷/夏物/質素/家庭的
234 拉麺 | 葱,獣肉,卵,奇妙な卵 | 中華/野菜/獣肉/香料/咸/咸/丰盛/垃圾/濃厚/温暖/温暖/新鲜/豪快
235 担担麺 | 葱 | 中華/麺類/野菜/獣肉/香料/辣/辣/辣/丰盛/濃厚/温暖/温暖/新鲜/豪快
236 意大利麺 | 汎用 | 洋食/麺類/野菜/咸/丰盛/上品/新鲜
237 炒麺 | 卷心菜,胡萝卜,洋葱 | 麺類/野菜/獣肉/咸/咸/丰盛/濃厚/温暖/野趣/家庭的
238 中華冷麵 | 黄瓜,卵,奇妙な卵 | 中華/麺類/野菜/酸/简易/冷/冷/夏物/新鲜
241 鸡肉汆锅 | 鳥肉,野雞肉,卷心菜,白菜,普通的菌菇,山菜 | 和食/鍋物/鳥肉/野菜/咸/温暖/温暖/豪快
242 寿喜烧 | 獣肉,葱,白菜,普通的菌菇,山菜 | 和食/鍋物/肉料理/獣肉/野菜/卵/咸/丰盛/濃厚/温暖/温暖/豪華/豪快
243 关东煮 | 马铃薯,胡萝卜,芜菁,普通的菌菇,竹笋,好吃的魚,魚,卵,奇妙な卵 | 和食/鍋物/卵/野菜/咸/淡白/温暖/温暖/冬物/家庭的
244 千原锅 | 葱 | 中華/鍋物/野菜/香料/辣/辣/丰盛/濃厚/温暖/温暖/豪華/新鲜
245 涮涮锅 | 獣肉 | 和食/鍋物/肉料理/獣肉/咸/简易/淡白/温暖/温暖/豪華/野趣
246 芝士火锅 | 南瓜,胡萝卜,马铃薯,普通的菌菇 | 洋食/鍋物/面包/野菜/乳酪/牛奶/咸/丰盛/濃厚/温暖/温暖/上品/黏稠
247 燉菜 | 南瓜,普通的菌菇,胡萝卜,马铃薯,洋葱 | 洋食/汁物/野菜/牛奶/甜/濃厚/温暖/温暖/上品/黏稠
248 罗宋汤 | 番茄,洋葱,胡萝卜,卷心菜 | 洋食/汁物/野菜/咸/濃厚/温暖/温暖/新鲜
249 面包碗燉菜 | 普通的菌菇,胡萝卜,南瓜,马铃薯,洋葱 | 洋食/汁物/野菜/面包/牛奶/甜/丰盛/濃厚/温暖/温暖/上品/芸術的/黏稠/松脆
250 芝士焗菜 | 洋葱,南瓜 | 洋食/野菜/乳酪/牛奶/咸/濃厚/温暖/温暖/上品
251 蛇羹 | 來歷不明的肉 | 中華/蘑菇/汁物/香料/咸/濃厚/温暖/温暖/野趣/黏稠/薬効
261 披萨 | 番茄 | 洋食/野菜/獣肉/面包/香料/乳酪/咸/丰盛/垃圾/濃厚/温暖/新鲜/豪快
262 御好烧 | 卷心菜,卵,奇妙な卵 | 和食/野菜/獣肉/卵/香料/咸/丰盛/濃厚/温暖/新鲜/豪快
263 麻婆茄子 | 茄子 | 中華/野菜/香料/辣/辣/丰盛/濃厚/温暖/新鲜
264 油淋鶏 | 鳥肉,野雞肉 | 中華/肉料理/鳥肉/香料/辣/丰盛/濃厚/温暖/新鲜
265 中華溜菜 | 白菜,洋葱,普通的菌菇 | 中華/野菜/香料/咸/丰盛/濃厚/温暖/新鲜/黏稠
266 炒蔬菜 | 卷心菜,胡萝卜,洋葱,芜菁,白菜,南瓜,葱 | 野菜/咸/简易/健康/濃厚/温暖/新鲜
267 姜汁焼肉 | 獣肉 | 和食/肉料理/獣肉/咸/丰盛/濃厚/温暖/野趣/豪快
268 牛扒 | 獣肉 | 洋食/肉料理/獣肉/香料/咸/丰盛/濃厚/温暖/豪華/野趣/豪快
269 漢堡肉 | 獣肉 | 洋食/肉料理/獣肉/咸/丰盛/濃厚/温暖/野趣/豪快
270 儿童午餐 | 汎用 | 洋食/米/甜/简易/温暖/新鲜/芸術的
271 刺身 | 好吃的魚 | 和食/魚料理/芥末/咸/简易/淡白/豪華/野趣/芸術的
272 法式鹹派 | 胡萝卜,番茄,南瓜,马铃薯,普通的菌菇,山菜 | 洋食/派/野菜/乳酪/牛奶/卵/甜/简易/機能的/上品
273 仰望星空派 | 好吃的魚 | 洋食/派/魚料理/甜/丰盛/野趣/怪诞/豪快/謎料理
281 澳洲鴕鳥肉 | 鳥肉,野雞肉,虫,稀有昆虫 | 中華/肉料理/鳥肉/虫肉/香料/酸/丰盛/濃厚/温暖/野趣/怪诞/新鲜/豪快/謎料理
282 興奮劑高湯 | 高级食材 | 汁物/香料/咸/丰盛/垃圾/垃圾/垃圾/濃厚/温暖/機能的/機能的/機能的/薬効/魔性
283 银吉獣料理 | 獣肉 | 肉料理/银吉獣/酸/丰盛/濃厚/温暖/野趣/豪快/謎料理
284 炖猪脚 | 烧酒 | 和食/肉料理/獣肉/甜/咸/丰盛/濃厚/濃厚/温暖/野趣/野趣/黏稠/豪快
285 炸鱼饼 | 好吃的魚,魚 | 和食/油炸食品/開胃/魚料理/甜/咸/丰盛/温暖/家庭的
286 炖牛肉 | 红酒,陈酿红酒,优质陈酿红酒 | 洋食/汁物/野菜/肉料理/獣肉/甜/丰盛/濃厚/濃厚/温暖/温暖/豪華/上品/黏稠
287 酒寿司 | 灰持酒 | 和食/魚料理/米/甜/濃厚/简易/上品/豪華
291 年节菜 | 高级食材 | 和食/野菜/甜/丰盛/濃厚/豪華/上品/新鲜/芸術的/家庭的
292 七草汤 | 山菜 | 和食/野菜/酸/简易/健康/淡白/温暖/質素/上品/黏稠/薬効
293 江户卷 | 高级食材,黄瓜,普通的菌菇,卵,奇妙な卵 | 和食/米/野菜/酸/简易/機能的/家庭的
294 跨年荞麦麺 | 汎用 | 和食/咸/简易/温暖/温暖/家庭的
295 烤鸡 | 鳥肉,野雞肉 | 洋食/肉料理/鳥肉/香料/咸/丰盛/濃厚/温暖/豪華/野趣/上品/豪快
299 试煮 | 马铃薯,胡萝卜,芜菁,獣肉,普通的菌菇 | 未知の味/辣/辣/蛋糕/中華/简易/简易/健康/中立温度/祝福/魔性/加護/豊穣/薬効
301 小蛋糕 | 草莓 | 洋食/蛋糕/卵/牛奶/甜/甜/豪華/上品/新鲜/芸術的/软绵绵
301 = "" | 汎用 | 
302 巧克力蛋糕 | 高級巧克力,巧克力 | 洋食/蛋糕/卵/牛奶/甜/甜/豪華/上品/芸術的
303 薄烤饼 | 蜂蜜 | 洋食/蛋糕/卵/牛奶/甜/温暖/上品/家庭的/软绵绵
304 奶油蛋糕 | 甜味料 | 洋食/蛋糕/卵/牛奶/甜/豪快/软绵绵/家庭的
305 派 | 甜味料,仙桃,草莓,南瓜,树莓 | 洋食/卵/甜/温暖/芸術的/松脆
306 水果小馅饼 | 草莓,西瓜,仙桃,树莓,山葡萄 | 洋食/派/卵/甜/冷/上品/新鲜
307 馬卡龍 | 甜味料,草莓,高級巧克力,巧克力,树莓 | 洋食/卵/甜/新鲜/芸術的/软绵绵
308 可丽饼 | 草莓,高級巧克力,巧克力 | 洋食/卵/牛奶/甜/冷/上品/新鲜
309 奶油泡芙 | 甜味料 | 洋食/卵/牛奶/甜/上品/软绵绵
310 芭菲 | 冰淇淋,草莓,西瓜,仙桃,树莓,山葡萄 | 洋食/冰淇淋/牛奶/甜/冷/冷/豪華/上品/新鲜/芸術的
311 布丁 | 卵,奇妙な卵 | 洋食/卵/甜/冷/新鲜/扑鼻
312 果凍 | 甜味料,草莓,西瓜,仙桃,高級巧克力,巧克力,树莓,山葡萄 | 洋食/甜/冷/新鲜/扑鼻
313 青蛙布丁 | 青蛙 | 洋食/卵/甜/冷/新鲜/扑鼻
314 酸奶 | 甜味料 | 洋食/牛奶/甜/健康/冷/質素/黏稠
315 冰淇淋 | 冰淇淋,草莓,西瓜,仙桃,高級巧克力,巧克力,树莓,山葡萄 | 洋食/冰淇淋/牛奶/甜/冷/冷/夏物/新鲜/芸術的
316 曲奇 | 甜味料 | 洋食/卵/甜/芸術的/家庭的/松脆
317 甜甜圈 | 甜味料 | 洋食/油炸食品/卵/甜/芸術的/软绵绵/软糯的
318 苹果糖 | 糖 | 果物/甜/新鲜/芸術的/黏稠
319 餡蜜 | 甜味料 | 和食/果物/甜/新鲜/扑鼻
320 蜂蜜蛋糕 | 甜味料 | 和食/卵/甜/上品/软绵绵
321 団子 | 甜味料 | 和食/甜/家庭的/软糯的
322 羊羹 | 甜味料 | 和食/甜/上品/家庭的/扑鼻
323 大福 | 草莓,树莓 | 和食/饅頭/甜/上品/软糯的
324 豆沙蒸馒头 | 甜味料 | 和食/饅頭/甜/家庭的/软糯的
325 栗金団 | 甜味料 | 和食/甜/上品
326 杏仁豆腐 | 草莓,西瓜,仙桃,树莓,山葡萄 | 中華/牛奶/甜/冷/上品/新鲜/扑鼻
327 水果拼盘 | 草莓,西瓜,仙桃,树莓,山葡萄 | 甜/冷/新鲜/芸術的/扑鼻
328 珍珠奶茶 | 甜味料 | 饮用/牛奶/甜/機能的/软糯的
329 草莓豆腐 | 草莓,树莓 | 甜/冷/芸術的/謎料理/扑鼻
330 切好的西瓜 | 西瓜 | 甜/冷/新鲜/家庭的/松脆/夏物
341 赏月団子 | 汎用 | 和食/団子/甜/上品/芸術的/软糯的/赏月
342 万圣节蛋糕 | 南瓜 | 洋食/蛋糕/甜/豪華/新鲜/芸術的/软绵绵
343 圣诞蛋糕 | 草莓 | 洋食/蛋糕/卵/甜/甜/豪華/新鲜/芸術的/软绵绵
344 月之团子 | 甜味料,糖 | 和食/団子/甜/家庭的/软糯的/謎料理
345 Tarte Lune | 甜味料,蜂蜜,高级食材 | 洋食/卵/牛奶/上品/芸術的/豪華/软糯的
346 七色蓬莱团子 | 甜味料,高级食材 | 和食/団子/甜/上品/芸術的/豪華/软糯的/赏月/健康/謎料理
351 油炸跳蛋 | 跳蛋 | 油炸食品/咸/丰盛/濃厚/野趣/謎料理/松脆/精力
352 电动按摩风跳蛋湯引 | 跳蛋 | 咸/简易/淡白/冷/夏物/野趣/豪快/謎料理/精力
353 夹子用跳蛋握手 | 跳蛋 | 和食/米/芥末/酸/简易/淡白/野趣/謎料理/精力
354 飛機杯剪裁跳蛋水煮 | 跳蛋 | 煮物/野菜/咸/丰盛/濃厚/温暖/冬物/家庭的/謎料理/精力
355 振動棒跳蛋冰淇淋 | 跳蛋 | 洋食/冰淇淋/甜/冷/冷/夏物/新鲜/謎料理/精力
401 %CALLNAME:SP_CHARA%的特别菜单 |  | 

--- 特制料理 ---
1 霊夢 | 红白馒头 | 甜味料 | 和食/饅頭/甜/上品/芸術的/软糯的/祝福
2 る～こと | 鈾黄蛋糕 | 甜味料 | 洋食/蛋糕/卵/牛奶/甜/新鲜/芸術的
3 カナ | 卡娜佩 | 汎用 | 洋食/開胃/面包/野菜/乳酪/简易/上品/機能的/松脆
4 魅魔 | 幸運曲奇 | 甜味料 | 洋食/卵/简易/芸術的/上品/松脆/幸運
5 サニー | 单面煎蛋 | 卵,奇妙な卵 | 洋食/卵/卵/甜/简易/新鲜/豪快
6 ルナ | 宁静的海之汤 | 汎用 | 汁物/野菜/牛奶/咸/简易/淡白/温暖/質素/上品/芸術的
7 スター | 京丸牡丹鍋 | 高级食材 | 和食/鍋物/野菜/咸/简易/濃厚/温暖/温暖/豪華/芸術的/謎料理/霊障
8 ちゆり | 水兵咖喱 | 好吃的魚,魚 | 洋食/咖喱/魚料理/野菜/香料/辣/辣/简易/淡白/温暖/温暖/新鲜/芸術的/黏稠
9 夢美 | 特制草莓蛋糕 | 草莓 | 洋食/蛋糕/卵/牛奶/甜/豪華/新鲜/软绵绵
10 萃香 | 威士忌酒心巧克力 | 高級巧克力,巧克力 | 洋食/甜/上品/家庭的/濃厚/鬼の魔力
11 魔理沙 | 魔法炒蘑菇 | 魔法菌菇 | 洋食/未知の味/简易/健康/温暖/芸術的/新鲜/魔力
12 ルーミア | 暗之甜甜圈 | 甜味料,高級巧克力,巧克力 | 洋食/油炸食品/卵/甜/濃厚/松脆/软绵绵/謎料理
13 大妖精 | 花朵沙拉 | 卷心菜,番茄,胡萝卜,黄瓜 | 葉物/野菜/简易/健康/新鲜/質素/野趣/家庭的
14 チルノ | 刨冰 | 冰淇淋 | 冰淇淋/甜/简易/冷/冷/冷/夏物/質素/家庭的/松脆
15 咲夜 | 红魔馆午餐 | 高级食材 | 洋食/儿童午餐/面包/牛奶/甜/丰盛/濃厚/温暖/豪華/上品/新鲜/秘術/女僕流
16 レミリア | 鲜红的血汤 | 番茄 | 洋食/汁物/野菜/獣肉/甜/濃厚/温暖/上品/新鲜/新鲜/新鲜/怪诞/絢爛/血の魔力
17 アリス | 姜饼人 | 甜味料 | 洋食/曲奇/卵/甜/芸術的/芸術的/家庭的/松脆
18 リリーＷ | 春天的赏花便当 | 汎用 | 野菜/咸/健康/淡白/温暖/春物/芸術的/野趣/家庭的/生命力
19 リリーＢ | 春天的镇魂料理 | 汎用 | 和食/煮物/野菜/酸/健康/濃厚/温暖/春物/質素/野趣/上品/霊障/冥界風
20 リリカ | 香肠佐酸菜 | 獣肉,來歷不明的肉,卷心菜 | 洋食/肉料理/野菜/獣肉/香料/咸/酸/酸/野趣
21 メルラン | 香煎鳕鱼柳佐番茄辣酱 | 好吃的魚,番茄 | 洋食/魚料理/香料/新鲜/辣/松脆/家庭的
22 ルナサ | 生洋蔥沙拉 | 洋葱 | 野菜/酸/简易/健康/辣/家庭的
23 妖夢 | 蜜豆白玉 | 冰淇淋,草莓,西瓜,仙桃 | 和食/冰淇淋/豆/甜/淡白/冷/夏物/芸術的/上品/新鲜/扑鼻/霊障/冥界風
24 橙 | 猫饭 | 好吃的魚,魚 | 汁物/米/魚料理/咸/丰盛/濃厚/温暖/野趣/野趣/野趣/野趣/野趣/家庭的
25 藍 | 稻荷寿司 | 汎用 | 和食/油炸食品/米/酸/简易/淡白/中立温度/質素/家庭的
26 紫 | 海龟汤 | 來歷不明的肉 | 汁物/肉料理/酸/简易/質素/上品/謎料理
27 リグル | 蜂王浆 | 蜂蜜 | 甜/健康/健康/濃厚/野趣/新鲜/扑鼻/薬膳
28 ミスティア | 烤七鳃鳗 | 好吃的魚 | 和食/開胃/魚料理/咸/丰盛/濃厚/温暖/野趣/強精
29 文 | 炒堅果 | 汎用 | 咸/淡泊/質素/简易/松脆/天狗流
30 映姫 | 地獄拉麺（極辣） | 葱 | 中華/麺類/野菜/温暖/香料/香料/香料/辣/辣/辣/辣/辣/辣
31 早苗 | 释迦年糕 | 甜味料 | 和食/団子/甜/上品/软糯的/神力
32 神奈子 | 御柱棒 | 汎用 | 和食/咸/濃厚/野趣/豪快/機能的/松脆/神力
33 諏訪子 | 馒饼 | 汎用 | 和食/米/野菜/豆/甜/简易/健康/新鲜/家庭的
34 天子 | 天界水果芭菲 | 仙桃 | 洋食/芭菲/冰淇淋/牛奶/甜/甜/冷/豪華/芸術的/上品/新鲜/豪快/扑鼻/软绵绵/天界風/絢爛
35 衣玖 | 噼啪作响棉花糖 | 甜味料 | 甜/甜/软绵绵/家庭的/天界風
36 お燐 | 烤腐肉 | 獣肉,來歷不明的肉 | 肉料理/獣肉/咸/丰盛/垃圾/濃厚/温暖/野趣/怪诞/怪诞/怪诞/地底風
37 お空 | 核热烤牛排 | 獣肉 | 洋食/牛扒/肉料理/獣肉/香料/辣/丰盛/濃厚/温暖/豪華/野趣/豪快/豪快/豪快/大火力/地底風
38 こいし | 蘋果薔薇果凍 | 甜味料 | 洋食/甜/上品/冷/家庭的/新鲜/扑鼻
39 ナズーリン | 芝士蛋糕 | 甜味料 | 洋食/蛋糕/卵/牛奶/乳酪/甜/濃厚/中立温度/質素/上品/家庭的/软糯的
40 小傘 | 魔芋妖怪 | 汎用 | 和食/未知の味/心跳味/简易/健康/淡白/冷/質素/質素/野趣/扑鼻/扑鼻/妖気
41 ぬえ | 未確認飛行料理 | 暗黑物质 | 香料/未知の味/未知の味/未知の味/中立温度/謎料理/妖力
42 はたて | 公主甜点 | 甜味料 | 甜/甜/甜/芸術的/濃厚/豪華/新鲜/软绵绵
43 華扇 | 中華饅 | 獣肉,竹笋,洋葱,卷心菜,白菜,魚 | 中華/獣肉/野菜/咸/丰盛/豪快/温暖/软糯的/鬼の魔力
44 エレン | 软绵绵棉花糖 | 甜味料 | 甜/软绵绵/软绵绵/软绵绵/魔力
45 理香子 | 反乌托邦餐 | 汎用 | 健康/淡白/淡白/質素/質素/機能的/化学的/謎料理
46 明羅 | 两菜一汤本膳料理 | 汎用 | 和食/魚料理/汁物/米/葉物/野菜/咸/简易/質素/上品
47 里香 | 灵魂蛋糕 | 彷徨灵魂 | 洋食/卵/牛奶/甜/简易/野趣
48 ルイズ | 魔界风红酒汁煎鸭胸 | 鳥肉 | 洋食/肉料理/鳥肉/香料/咸/濃厚/濃厚/上品/芸術的/魔界風
